French,English
partie,part
histoire,history
seulement,only
police,police
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
parlé,speak
devrait,should
heures,hours
pendant,while
revoir,meet again
place,square
parle,speak
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
train,train
endroit,place
dont,whose
premier,first
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
tellement,so much
enfant,child
venu,came
suite,after
pardon,sorry
vers,towards
minutes,minutes
chambre,bedroom
belle,beautiful
droit,law
mari,husband
cause,cause
enfin,finally
eau,water
attendez,Wait
parti,left
boulot,job
dirait,would say
terre,Earth
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
